,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
3490,9420429,VIBOS,ZGGG,2018-02-20 15:00:00,2018-02-20 14:45:00,2018-02-20 15:15:00,2018-02-20 00:00:00,-15.0
3491,9420581,VIBOS,ZGGG,2018-02-20 13:53:00,2018-02-20 13:45:00,2018-02-20 14:15:00,2018-02-20 00:00:00,-22.0
3492,9420590,VIBOS,ZGGG,2018-02-20 18:48:00,2018-02-20 17:55:00,2018-02-20 18:25:00,2018-02-20 00:00:00,23.0
3493,9420682,VIBOS,ZGGG,2018-02-20 13:39:00,2018-02-20 13:30:00,2018-02-20 14:00:00,2018-02-20 00:00:00,-21.0
3494,9421059,VIBOS,ZGGG,2018-02-20 17:22:00,2018-02-20 17:25:00,2018-02-20 17:55:00,2018-02-20 00:00:00,-33.0
3495,9421507,VIBOS,ZGGG,2018-02-20 16:15:00,2018-02-20 15:55:00,2018-02-20 16:25:00,2018-02-20 00:00:00,-10.0
3496,9421514,VIBOS,ZGGG,2018-02-20 17:47:00,2018-02-20 17:30:00,2018-02-20 18:00:00,2018-02-20 00:00:00,-13.0
3497,9421521,VIBOS,ZGGG,2018-02-20 14:12:00,2018-02-20 14:05:00,2018-02-20 14:35:00,2018-02-20 00:00:00,-23.0
3498,9421822,VIBOS,ZGGG,2018-02-20 15:43:00,2018-02-20 15:20:00,2018-02-20 15:50:00,2018-02-20 00:00:00,-7.0
3499,9421856,VIBOS,ZGGG,2018-02-20 14:58:00,2018-02-20 14:45:00,2018-02-20 15:15:00,2018-02-20 00:00:00,-17.0
3500,9422058,VIBOS,ZGGG,2018-02-20 14:26:00,2018-02-20 14:20:00,2018-02-20 14:50:00,2018-02-20 00:00:00,-24.0
3501,9422458,VIBOS,ZGGG,2018-02-20 19:48:00,2018-02-20 19:10:00,2018-02-20 19:40:00,2018-02-20 00:00:00,8.0
3502,9422465,VIBOS,ZGGG,2018-02-20 18:46:00,2018-02-20 18:30:00,2018-02-20 19:00:00,2018-02-20 00:00:00,-14.0
3503,9422470,VIBOS,ZGGG,2018-02-20 21:40:00,2018-02-20 21:10:00,2018-02-20 21:40:00,2018-02-20 00:00:00,0.0
3504,9422471,VIBOS,ZGGG,2018-02-20 18:36:00,2018-02-20 18:30:00,2018-02-20 19:00:00,2018-02-20 00:00:00,-24.0
3505,9422480,VIBOS,ZGGG,2018-02-20 19:14:00,2018-02-20 18:50:00,2018-02-20 19:20:00,2018-02-20 00:00:00,-6.0
3506,9422486,VIBOS,ZGGG,2018-02-20 21:05:00,2018-02-20 20:50:00,2018-02-20 21:20:00,2018-02-20 00:00:00,-15.0
3507,9422564,VIBOS,ZGGG,2018-02-20 22:41:00,2018-02-20 22:20:00,2018-02-20 22:50:00,2018-02-20 00:00:00,-9.0
3508,9422646,VIBOS,ZGGG,2018-02-20 22:00:00,2018-02-20 21:40:00,2018-02-20 22:10:00,2018-02-20 00:00:00,-10.0
3509,9422798,VIBOS,ZGGG,2018-02-20 19:00:00,2018-02-20 18:35:00,2018-02-20 19:05:00,2018-02-20 00:00:00,-5.0
3510,9422807,VIBOS,ZGGG,2018-02-20 20:45:00,2018-02-20 20:30:00,2018-02-20 21:00:00,2018-02-20 00:00:00,-15.0
3511,9423002,VIBOS,ZGGG,2018-02-20 21:55:00,2018-02-20 19:45:00,2018-02-20 20:15:00,2018-02-20 00:00:00,100.0
3512,9423045,VIBOS,ZGGG,2018-02-20 21:22:00,2018-02-20 21:00:00,2018-02-20 21:30:00,2018-02-20 00:00:00,-8.0
3513,9423047,VIBOS,ZGGG,2018-02-20 18:21:00,2018-02-20 18:00:00,2018-02-20 18:30:00,2018-02-20 00:00:00,-9.0
3514,9423146,VIBOS,ZGGG,2018-02-20 19:12:00,2018-02-20 19:05:00,2018-02-20 19:35:00,2018-02-20 00:00:00,-23.0
3515,9423212,VIBOS,ZGGG,2018-02-20 23:43:00,2018-02-20 23:40:00,2018-02-21 00:10:00,2018-02-21 00:00:00,-27.0
3516,9423278,VIBOS,ZGGG,2018-02-20 22:13:00,2018-02-20 22:00:00,2018-02-20 22:30:00,2018-02-20 00:00:00,-17.0
3517,9423407,VIBOS,ZGGG,2018-02-20 20:54:00,2018-02-20 20:45:00,2018-02-20 21:15:00,2018-02-20 00:00:00,-21.0
3518,9423441,VIBOS,ZGGG,2018-02-20 18:52:00,2018-02-20 18:35:00,2018-02-20 19:05:00,2018-02-20 00:00:00,-13.0
3519,9423464,VIBOS,ZGGG,2018-02-20 23:27:00,2018-02-20 23:30:00,2018-02-21 00:00:00,2018-02-21 00:00:00,-33.0
3520,9423601,VIBOS,ZGGG,2018-02-20 22:10:00,2018-02-20 21:50:00,2018-02-20 22:20:00,2018-02-20 00:00:00,-10.0
3521,9423671,VIBOS,ZGGG,2018-02-20 21:37:00,2018-02-20 21:15:00,2018-02-20 21:45:00,2018-02-20 00:00:00,-8.0
3522,9424043,VIBOS,ZGGG,2018-02-20 19:39:00,2018-02-20 18:20:00,2018-02-20 18:50:00,2018-02-20 00:00:00,49.0
3523,9424068,VIBOS,ZGGG,2018-02-20 20:56:00,2018-02-20 20:50:00,2018-02-20 21:20:00,2018-02-20 00:00:00,-24.0
3524,9424100,VIBOS,ZGGG,2018-02-20 22:30:00,2018-02-20 22:20:00,2018-02-20 22:50:00,2018-02-20 00:00:00,-20.0
3525,9424298,VIBOS,ZGGG,2018-02-20 20:54:00,2018-02-20 19:00:00,2018-02-20 19:30:00,2018-02-20 00:00:00,84.0
3526,9424370,VIBOS,ZGGG,2018-02-20 23:38:00,2018-02-20 23:20:00,2018-02-20 23:50:00,2018-02-20 00:00:00,-12.0
3527,9424646,VIBOS,ZGGG,2018-02-20 22:05:00,2018-02-20 21:30:00,2018-02-20 22:00:00,2018-02-20 00:00:00,5.0
3528,9424819,VIBOS,ZGGG,2018-02-20 22:45:00,2018-02-20 22:30:00,2018-02-20 23:00:00,2018-02-20 00:00:00,-15.0
3529,9424823,VIBOS,ZGGG,2018-02-20 23:28:00,2018-02-20 23:20:00,2018-02-20 23:50:00,2018-02-20 00:00:00,-22.0
3530,9424858,VIBOS,ZGGG,2018-02-21 01:06:00,2018-02-20 23:55:00,2018-02-21 00:25:00,2018-02-21 00:00:00,41.0
3531,9425051,VIBOS,ZGGG,2018-02-20 19:16:00,2018-02-20 19:05:00,2018-02-20 19:35:00,2018-02-20 00:00:00,-19.0
3532,9425253,VIBOS,ZGGG,2018-02-21 02:12:00,2018-02-21 02:20:00,2018-02-21 02:50:00,2018-02-21 00:00:00,-38.0
3533,9425284,VIBOS,ZGGG,2018-02-21 00:30:00,2018-02-21 00:20:00,2018-02-21 00:50:00,2018-02-21 00:00:00,-20.0
3534,9425448,VIBOS,ZGGG,2018-02-21 03:44:00,2018-02-21 03:45:00,2018-02-21 04:15:00,2018-02-21 00:00:00,-31.0
3535,9425722,VIBOS,ZGGG,2018-02-21 01:12:00,2018-02-21 00:50:00,2018-02-21 01:20:00,2018-02-21 00:00:00,-8.0
3536,9425757,VIBOS,ZGGG,2018-02-21 05:44:00,2018-02-21 05:45:00,2018-02-21 06:15:00,2018-02-21 00:00:00,-31.0
3537,9425761,VIBOS,ZGGG,2018-02-21 02:53:00,2018-02-21 02:45:00,2018-02-21 03:15:00,2018-02-21 00:00:00,-22.0
3538,9425785,VIBOS,ZGGG,2018-02-21 06:20:00,2018-02-21 03:15:00,2018-02-21 03:45:00,2018-02-21 00:00:00,155.0
3539,9425847,VIBOS,ZGGG,2018-02-21 03:31:00,2018-02-21 03:25:00,2018-02-21 03:55:00,2018-02-21 00:00:00,-24.0
3540,9425884,VIBOS,ZGGG,2018-02-21 00:35:00,2018-02-21 00:25:00,2018-02-21 00:55:00,2018-02-21 00:00:00,-20.0
3541,9425968,VIBOS,ZGGG,2018-02-21 10:52:00,2018-02-21 10:45:00,2018-02-21 11:15:00,2018-02-21 00:00:00,-23.0
3542,9425972,VIBOS,ZGGG,2018-02-21 08:50:00,2018-02-21 08:35:00,2018-02-21 09:05:00,2018-02-21 00:00:00,-15.0
3543,9425976,VIBOS,ZGGG,2018-02-21 09:43:00,2018-02-21 09:25:00,2018-02-21 09:55:00,2018-02-21 00:00:00,-12.0
3544,9425988,VIBOS,ZGGG,2018-02-21 09:06:00,2018-02-21 08:55:00,2018-02-21 09:25:00,2018-02-21 00:00:00,-19.0
3545,9425989,VIBOS,ZGGG,2018-02-21 08:50:00,2018-02-21 08:40:00,2018-02-21 09:10:00,2018-02-21 00:00:00,-20.0
3546,9425993,VIBOS,ZGGG,2018-02-21 11:48:00,2018-02-21 11:35:00,2018-02-21 12:05:00,2018-02-21 00:00:00,-17.0
3547,9426184,VIBOS,ZGGG,2018-02-21 11:04:00,2018-02-21 10:45:00,2018-02-21 11:15:00,2018-02-21 00:00:00,-11.0
3548,9426597,VIBOS,ZGGG,2018-02-21 07:46:00,2018-02-21 07:30:00,2018-02-21 08:00:00,2018-02-21 00:00:00,-14.0
3549,9426642,VIBOS,ZGGG,2018-02-21 08:08:00,2018-02-21 08:00:00,2018-02-21 08:30:00,2018-02-21 00:00:00,-22.0
3550,9426643,VIBOS,ZGGG,2018-02-21 11:11:00,2018-02-21 11:00:00,2018-02-21 11:30:00,2018-02-21 00:00:00,-19.0
3551,9426645,VIBOS,ZGGG,2018-02-21 07:11:00,2018-02-21 07:00:00,2018-02-21 07:30:00,2018-02-21 00:00:00,-19.0
3552,9426652,VIBOS,ZGGG,2018-02-21 08:00:00,2018-02-21 07:55:00,2018-02-21 08:25:00,2018-02-21 00:00:00,-25.0
3553,9426654,VIBOS,ZGGG,2018-02-21 08:14:00,2018-02-21 08:15:00,2018-02-21 08:45:00,2018-02-21 00:00:00,-31.0
3554,9426726,VIBOS,ZGGG,2018-02-21 07:39:00,2018-02-21 07:25:00,2018-02-21 07:55:00,2018-02-21 00:00:00,-16.0
