,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
619,9229930,GYA,ZGGG,2018-02-02 12:38:00,2018-02-02 12:25:00,2018-02-02 12:35:00,2018-02-02 00:00:00,3.0
620,9230132,GYA,ZGGG,2018-02-02 11:56:00,2018-02-02 12:15:00,2018-02-02 12:25:00,2018-02-02 00:00:00,-29.0
621,9230553,GYA,ZGGG,2018-02-02 12:04:00,2018-02-02 11:55:00,2018-02-02 12:05:00,2018-02-02 00:00:00,-1.0
622,9230612,GYA,ZGGG,2018-02-02 11:45:00,2018-02-02 11:45:00,2018-02-02 11:55:00,2018-02-02 00:00:00,-10.0
623,9230637,GYA,ZGGG,2018-02-02 10:27:00,2018-02-02 10:50:00,2018-02-02 11:00:00,2018-02-02 00:00:00,-33.0
624,9230649,GYA,ZGGG,2018-02-02 13:22:00,2018-02-02 13:45:00,2018-02-02 13:55:00,2018-02-02 00:00:00,-33.0
625,9230657,GYA,ZGGG,2018-02-02 09:21:00,2018-02-02 09:10:00,2018-02-02 09:20:00,2018-02-02 00:00:00,1.0
626,9230735,GYA,ZGGG,2018-02-02 11:07:00,2018-02-02 11:20:00,2018-02-02 11:30:00,2018-02-02 00:00:00,-23.0
627,9230993,GYA,ZGGG,2018-02-02 13:41:00,2018-02-02 13:40:00,2018-02-02 13:50:00,2018-02-02 00:00:00,-9.0
628,9231055,GYA,ZGGG,2018-02-02 14:46:00,2018-02-02 14:00:00,2018-02-02 14:10:00,2018-02-02 00:00:00,36.0
629,9231059,GYA,ZGGG,2018-02-02 09:58:00,2018-02-02 09:35:00,2018-02-02 09:45:00,2018-02-02 00:00:00,13.0
630,9231093,GYA,ZGGG,2018-02-02 12:44:00,2018-02-02 12:40:00,2018-02-02 12:50:00,2018-02-02 00:00:00,-6.0
631,9231095,GYA,ZGGG,2018-02-02 10:42:00,2018-02-02 10:40:00,2018-02-02 10:50:00,2018-02-02 00:00:00,-8.0
632,9231164,GYA,ZGGG,2018-02-02 11:44:00,2018-02-02 11:35:00,2018-02-02 11:45:00,2018-02-02 00:00:00,-1.0
633,9231285,GYA,ZGGG,2018-02-02 09:38:00,2018-02-02 09:35:00,2018-02-02 09:45:00,2018-02-02 00:00:00,-7.0
634,9231391,GYA,ZGGG,2018-02-02 11:10:00,2018-02-02 11:35:00,2018-02-02 11:45:00,2018-02-02 00:00:00,-35.0
635,9231856,GYA,ZGGG,2018-02-02 14:18:00,2018-02-02 14:40:00,2018-02-02 14:50:00,2018-02-02 00:00:00,-32.0
636,9231869,GYA,ZGGG,2018-02-02 10:40:00,2018-02-02 10:40:00,2018-02-02 10:50:00,2018-02-02 00:00:00,-10.0
637,9232000,GYA,ZGGG,2018-02-02 10:11:00,2018-02-02 10:25:00,2018-02-02 10:35:00,2018-02-02 00:00:00,-24.0
638,9232028,GYA,ZGGG,2018-02-02 15:33:00,2018-02-02 14:55:00,2018-02-02 15:05:00,2018-02-02 00:00:00,28.0
639,9232090,GYA,ZGGG,2018-02-02 15:36:00,2018-02-02 15:35:00,2018-02-02 15:45:00,2018-02-02 00:00:00,-9.0
640,9232098,GYA,ZGGG,2018-02-02 22:57:00,2018-02-02 23:15:00,2018-02-02 23:25:00,2018-02-02 00:00:00,-28.0
641,9232276,GYA,ZGGG,2018-02-02 09:23:00,2018-02-02 09:30:00,2018-02-02 09:40:00,2018-02-02 00:00:00,-17.0
642,9232394,GYA,ZGGG,2018-02-02 08:32:00,2018-02-02 08:50:00,2018-02-02 09:00:00,2018-02-02 00:00:00,-28.0
643,9233078,GYA,ZGGG,2018-02-02 15:43:00,2018-02-02 16:10:00,2018-02-02 16:20:00,2018-02-02 00:00:00,-37.0
644,9233081,GYA,ZGGG,2018-02-02 19:10:00,2018-02-02 19:20:00,2018-02-02 19:30:00,2018-02-02 00:00:00,-20.0
645,9233121,GYA,ZGGG,2018-02-02 18:29:00,2018-02-02 18:30:00,2018-02-02 18:40:00,2018-02-02 00:00:00,-11.0
646,9233151,GYA,ZGGG,2018-02-02 16:07:00,2018-02-02 16:20:00,2018-02-02 16:30:00,2018-02-02 00:00:00,-23.0
647,9233327,GYA,ZGGG,2018-02-02 19:35:00,2018-02-02 19:25:00,2018-02-02 19:35:00,2018-02-02 00:00:00,0.0
648,9233357,GYA,ZGGG,2018-02-02 21:08:00,2018-02-02 21:00:00,2018-02-02 21:10:00,2018-02-02 00:00:00,-2.0
649,9233606,GYA,ZGGG,2018-02-02 18:07:00,2018-02-02 16:40:00,2018-02-02 16:50:00,2018-02-02 00:00:00,77.0
650,9233612,GYA,ZGGG,2018-02-02 19:57:00,2018-02-02 19:20:00,2018-02-02 19:30:00,2018-02-02 00:00:00,27.0
651,9233614,GYA,ZGGG,2018-02-02 17:36:00,2018-02-02 16:50:00,2018-02-02 17:00:00,2018-02-02 00:00:00,36.0
652,9234176,GYA,ZGGG,2018-02-02 18:26:00,2018-02-02 17:50:00,2018-02-02 18:00:00,2018-02-02 00:00:00,26.0
653,9234208,GYA,ZGGG,2018-02-02 18:51:00,2018-02-02 19:05:00,2018-02-02 19:15:00,2018-02-02 00:00:00,-24.0
654,9234339,GYA,ZGGG,2018-02-02 19:44:00,2018-02-02 20:10:00,2018-02-02 20:20:00,2018-02-02 00:00:00,-36.0
655,9234381,GYA,ZGGG,2018-02-02 19:59:00,2018-02-02 19:45:00,2018-02-02 19:55:00,2018-02-02 00:00:00,4.0
656,9234528,GYA,ZGGG,2018-02-02 16:22:00,2018-02-02 15:55:00,2018-02-02 16:05:00,2018-02-02 00:00:00,17.0
657,9234654,GYA,ZGGG,2018-02-02 14:58:00,2018-02-02 15:20:00,2018-02-02 15:30:00,2018-02-02 00:00:00,-32.0
658,9234747,GYA,ZGGG,2018-02-02 19:24:00,2018-02-02 18:55:00,2018-02-02 19:05:00,2018-02-02 00:00:00,19.0
659,9234943,GYA,ZGGG,2018-02-02 18:22:00,2018-02-02 18:45:00,2018-02-02 18:55:00,2018-02-02 00:00:00,-33.0
660,9234970,GYA,ZGGG,2018-02-02 15:22:00,2018-02-02 15:30:00,2018-02-02 15:40:00,2018-02-02 00:00:00,-18.0
661,9234973,GYA,ZGGG,2018-02-02 15:04:00,2018-02-02 15:40:00,2018-02-02 15:50:00,2018-02-02 00:00:00,-46.0
662,9235272,GYA,ZGGG,2018-02-02 14:56:00,2018-02-02 15:10:00,2018-02-02 15:20:00,2018-02-02 00:00:00,-24.0
663,9235360,GYA,ZGGG,2018-02-02 15:58:00,2018-02-02 15:35:00,2018-02-02 15:45:00,2018-02-02 00:00:00,13.0
664,9235371,GYA,ZGGG,2018-02-02 17:41:00,2018-02-02 18:00:00,2018-02-02 18:10:00,2018-02-02 00:00:00,-29.0
665,9235378,GYA,ZGGG,2018-02-02 15:32:00,2018-02-02 15:45:00,2018-02-02 15:55:00,2018-02-02 00:00:00,-23.0
666,9235383,GYA,ZGGG,2018-02-02 17:39:00,2018-02-02 18:00:00,2018-02-02 18:10:00,2018-02-02 00:00:00,-31.0
667,9235426,GYA,ZGGG,2018-02-02 18:05:00,2018-02-02 17:40:00,2018-02-02 17:50:00,2018-02-02 00:00:00,15.0
668,9235491,GYA,ZGGG,2018-02-02 16:14:00,2018-02-02 15:55:00,2018-02-02 16:05:00,2018-02-02 00:00:00,9.0
669,9235496,GYA,ZGGG,2018-02-02 18:03:00,2018-02-02 18:10:00,2018-02-02 18:20:00,2018-02-02 00:00:00,-17.0
670,9235784,GYA,ZGGG,2018-02-02 17:46:00,2018-02-02 16:05:00,2018-02-02 16:15:00,2018-02-02 00:00:00,91.0
671,9235801,GYA,ZGGG,2018-02-02 19:49:00,2018-02-02 19:00:00,2018-02-02 19:10:00,2018-02-02 00:00:00,39.0
672,9235863,GYA,ZGGG,2018-02-02 17:50:00,2018-02-02 18:05:00,2018-02-02 18:15:00,2018-02-02 00:00:00,-25.0
673,9235870,GYA,ZGGG,2018-02-02 16:50:00,2018-02-02 17:25:00,2018-02-02 17:35:00,2018-02-02 00:00:00,-45.0
674,9235875,GYA,ZGGG,2018-02-02 21:42:00,2018-02-02 21:50:00,2018-02-02 22:00:00,2018-02-02 00:00:00,-18.0
675,9235883,GYA,ZGGG,2018-02-02 17:16:00,2018-02-02 16:10:00,2018-02-02 16:20:00,2018-02-02 00:00:00,56.0
