,FlightPlanID,GUFI,ADES,ALDT,SIBT,SIBT+10,Date,DelayTime
2184,10543027,IDUMA,ZGGG,2018-06-12 18:00:00,2018-06-12 17:50:00,2018-06-12 18:00:00,2018-06-12 00:00:00,0.0
2185,10543868,IDUMA,ZGGG,2018-06-12 19:34:00,2018-06-12 20:00:00,2018-06-12 20:10:00,2018-06-12 00:00:00,-36.0
2186,10542247,IDUMA,ZGGG,2018-06-12 17:04:00,2018-06-12 17:00:00,2018-06-12 17:10:00,2018-06-12 00:00:00,-6.0
2187,10466084,IDUMA,ZGGG,2018-06-05 01:07:00,2018-06-05 00:10:00,2018-06-05 00:20:00,2018-06-05 00:00:00,47.0
2188,10467295,IDUMA,ZGGG,2018-06-05 01:04:00,2018-06-04 23:30:00,2018-06-04 23:40:00,2018-06-04 00:00:00,84.0
2189,10466154,IDUMA,ZGGG,2018-06-05 00:32:00,2018-06-05 00:50:00,2018-06-05 01:00:00,2018-06-05 00:00:00,-28.0
2190,10541273,IDUMA,ZGGG,2018-06-12 19:08:00,2018-06-12 19:25:00,2018-06-12 19:35:00,2018-06-12 00:00:00,-27.0
2191,10479470,IDUMA,ZGGG,2018-06-06 10:49:00,2018-06-06 10:40:00,2018-06-06 10:50:00,2018-06-06 00:00:00,-1.0
2192,10529762,IDUMA,ZGGG,2018-06-11 08:56:00,2018-06-11 09:25:00,2018-06-11 09:35:00,2018-06-11 00:00:00,-39.0
2193,10523061,IDUMA,ZGGG,2018-06-10 17:45:00,2018-06-10 17:50:00,2018-06-10 18:00:00,2018-06-10 00:00:00,-15.0
2194,10542737,IDUMA,ZGGG,2018-06-12 18:06:00,2018-06-12 17:25:00,2018-06-12 17:35:00,2018-06-12 00:00:00,31.0
2195,10489234,IDUMA,ZGGG,2018-06-07 13:58:00,2018-06-07 14:30:00,2018-06-07 14:40:00,2018-06-07 00:00:00,-42.0
2196,10490284,IDUMA,ZGGG,2018-06-07 11:49:00,2018-06-07 11:50:00,2018-06-07 12:00:00,2018-06-07 00:00:00,-11.0
2197,10534671,IDUMA,ZGGG,2018-06-07 11:21:00,2018-06-07 10:10:00,2018-06-07 10:20:00,2018-06-07 00:00:00,61.0
2198,10508921,IDUMA,ZGGG,2018-06-09 16:48:00,2018-06-09 16:45:00,2018-06-09 16:55:00,2018-06-09 00:00:00,-7.0
2199,10510708,IDUMA,ZGGG,2018-06-09 07:50:00,2018-06-09 07:55:00,2018-06-09 08:05:00,2018-06-09 00:00:00,-15.0
2200,10473144,IDUMA,ZGGG,2018-06-05 19:00:00,2018-06-05 18:15:00,2018-06-05 18:25:00,2018-06-05 00:00:00,35.0
2201,10459636,IDUMA,ZGGG,2018-06-04 11:19:00,2018-06-04 11:25:00,2018-06-04 11:35:00,2018-06-04 00:00:00,-16.0
2202,10460910,IDUMA,ZGGG,2018-06-04 11:29:00,2018-06-04 12:00:00,2018-06-04 12:10:00,2018-06-04 00:00:00,-41.0
2203,10459760,IDUMA,ZGGG,2018-06-04 10:01:00,2018-06-04 10:10:00,2018-06-04 10:20:00,2018-06-04 00:00:00,-19.0
2204,10537314,IDUMA,ZGGG,2018-06-11 21:57:00,2018-06-11 21:55:00,2018-06-11 22:05:00,2018-06-11 00:00:00,-8.0
2205,10539002,IDUMA,ZGGG,2018-06-12 10:29:00,2018-06-12 10:55:00,2018-06-12 11:05:00,2018-06-12 00:00:00,-36.0
2206,10537837,IDUMA,ZGGG,2018-06-12 10:52:00,2018-06-12 07:55:00,2018-06-12 08:05:00,2018-06-12 00:00:00,167.0
2207,10496287,IDUMA,ZGGG,2018-06-07 20:47:00,2018-06-07 20:55:00,2018-06-07 21:05:00,2018-06-07 00:00:00,-18.0
