,FlightPlanID,GUFI,ADEP,ATOT,SOBT,SOBT+30,Date,DelayTime
3623,9321299,LMN,ZGGG,2018-02-10 21:03:00,2018-02-10 20:45:00,2018-02-10 21:15:00,2018-02-10 00:00:00,-12.0
3624,9321361,LMN,ZGGG,2018-02-10 23:33:00,2018-02-10 23:20:00,2018-02-10 23:50:00,2018-02-10 00:00:00,-17.0
3625,9321364,LMN,ZGGG,2018-02-10 23:47:00,2018-02-10 23:30:00,2018-02-11 00:00:00,2018-02-11 00:00:00,-13.0
3626,9321378,LMN,ZGGG,2018-02-10 19:28:00,2018-02-10 19:20:00,2018-02-10 19:50:00,2018-02-10 00:00:00,-22.0
3627,9321449,LMN,ZGGG,2018-02-10 21:55:00,2018-02-10 19:35:00,2018-02-10 20:05:00,2018-02-10 00:00:00,110.0
3628,9321623,LMN,ZGGG,2018-02-10 20:02:00,2018-02-10 19:45:00,2018-02-10 20:15:00,2018-02-10 00:00:00,-13.0
3629,9321655,LMN,ZGGG,2018-02-10 20:33:00,2018-02-10 20:05:00,2018-02-10 20:35:00,2018-02-10 00:00:00,-2.0
3630,9321764,LMN,ZGGG,2018-02-10 22:33:00,2018-02-10 22:10:00,2018-02-10 22:40:00,2018-02-10 00:00:00,-7.0
3631,9321991,LMN,ZGGG,2018-02-10 18:33:00,2018-02-10 18:05:00,2018-02-10 18:35:00,2018-02-10 00:00:00,-2.0
3632,9322008,LMN,ZGGG,2018-02-10 19:53:00,2018-02-10 19:30:00,2018-02-10 20:00:00,2018-02-10 00:00:00,-7.0
3633,9322051,LMN,ZGGG,2018-02-10 22:51:00,2018-02-10 22:20:00,2018-02-10 22:50:00,2018-02-10 00:00:00,1.0
3634,9322093,LMN,ZGGG,2018-02-10 19:11:00,2018-02-10 18:50:00,2018-02-10 19:20:00,2018-02-10 00:00:00,-9.0
3635,9322247,LMN,ZGGG,2018-02-10 21:53:00,2018-02-10 21:25:00,2018-02-10 21:55:00,2018-02-10 00:00:00,-2.0
3636,9322477,LMN,ZGGG,2018-02-10 19:39:00,2018-02-10 19:15:00,2018-02-10 19:45:00,2018-02-10 00:00:00,-6.0
3637,9322647,LMN,ZGGG,2018-02-10 21:25:00,2018-02-10 21:00:00,2018-02-10 21:30:00,2018-02-10 00:00:00,-5.0
3638,9322706,LMN,ZGGG,2018-02-10 18:02:00,2018-02-10 18:00:00,2018-02-10 18:30:00,2018-02-10 00:00:00,-28.0
3639,9322805,LMN,ZGGG,2018-02-11 00:18:00,2018-02-10 23:55:00,2018-02-11 00:25:00,2018-02-11 00:00:00,-7.0
3640,9322849,LMN,ZGGG,2018-02-11 00:22:00,2018-02-10 22:55:00,2018-02-10 23:25:00,2018-02-10 00:00:00,57.0
3641,9322942,LMN,ZGGG,2018-02-10 23:50:00,2018-02-10 23:10:00,2018-02-10 23:40:00,2018-02-10 00:00:00,10.0
3642,9323200,LMN,ZGGG,2018-02-11 01:30:00,2018-02-11 01:35:00,2018-02-11 02:05:00,2018-02-11 00:00:00,-35.0
3643,9323214,LMN,ZGGG,2018-02-11 00:38:00,2018-02-11 00:15:00,2018-02-11 00:45:00,2018-02-11 00:00:00,-7.0
3644,9323219,LMN,ZGGG,2018-02-11 00:47:00,2018-02-11 00:10:00,2018-02-11 00:40:00,2018-02-11 00:00:00,7.0
3645,9323223,LMN,ZGGG,2018-02-11 00:28:00,2018-02-11 00:05:00,2018-02-11 00:35:00,2018-02-11 00:00:00,-7.0
3646,9323225,LMN,ZGGG,2018-02-11 05:58:00,2018-02-11 05:30:00,2018-02-11 06:00:00,2018-02-11 00:00:00,-2.0
3647,9323232,LMN,ZGGG,2018-02-11 07:12:00,2018-02-11 04:35:00,2018-02-11 05:05:00,2018-02-11 00:00:00,127.0
3648,9323436,LMN,ZGGG,2018-02-11 07:18:00,2018-02-11 05:50:00,2018-02-11 06:20:00,2018-02-11 00:00:00,58.0
3649,9323610,LMN,ZGGG,2018-02-11 00:32:00,2018-02-11 00:15:00,2018-02-11 00:45:00,2018-02-11 00:00:00,-13.0
3650,9323622,LMN,ZGGG,2018-02-11 05:42:00,2018-02-11 05:05:00,2018-02-11 05:35:00,2018-02-11 00:00:00,7.0
3651,9323811,LMN,ZGGG,2018-02-11 08:59:00,2018-02-11 08:50:00,2018-02-11 09:20:00,2018-02-11 00:00:00,-21.0
3652,9323821,LMN,ZGGG,2018-02-11 08:32:00,2018-02-11 08:25:00,2018-02-11 08:55:00,2018-02-11 00:00:00,-23.0
3653,9323824,LMN,ZGGG,2018-02-11 11:21:00,2018-02-11 11:15:00,2018-02-11 11:45:00,2018-02-11 00:00:00,-24.0
3654,9323826,LMN,ZGGG,2018-02-11 09:32:00,2018-02-11 09:20:00,2018-02-11 09:50:00,2018-02-11 00:00:00,-18.0
3655,9323832,LMN,ZGGG,2018-02-11 09:06:00,2018-02-11 08:55:00,2018-02-11 09:25:00,2018-02-11 00:00:00,-19.0
3656,9323833,LMN,ZGGG,2018-02-11 08:42:00,2018-02-11 08:40:00,2018-02-11 09:10:00,2018-02-11 00:00:00,-28.0
3657,9323840,LMN,ZGGG,2018-02-11 09:15:00,2018-02-11 08:55:00,2018-02-11 09:25:00,2018-02-11 00:00:00,-10.0
3658,9323861,LMN,ZGGG,2018-02-11 10:35:00,2018-02-11 09:40:00,2018-02-11 10:10:00,2018-02-11 00:00:00,25.0
3659,9323986,LMN,ZGGG,2018-02-11 08:06:00,2018-02-11 07:00:00,2018-02-11 07:30:00,2018-02-11 00:00:00,36.0
3660,9324024,LMN,ZGGG,2018-02-11 12:05:00,2018-02-11 11:50:00,2018-02-11 12:20:00,2018-02-11 00:00:00,-15.0
3661,9324156,LMN,ZGGG,2018-02-11 11:01:00,2018-02-11 10:55:00,2018-02-11 11:25:00,2018-02-11 00:00:00,-24.0
3662,9324165,LMN,ZGGG,2018-02-11 06:53:00,2018-02-11 06:45:00,2018-02-11 07:15:00,2018-02-11 00:00:00,-22.0
3663,9324174,LMN,ZGGG,2018-02-11 06:41:00,2018-02-11 06:20:00,2018-02-11 06:50:00,2018-02-11 00:00:00,-9.0
3664,9324175,LMN,ZGGG,2018-02-11 06:53:00,2018-02-11 06:20:00,2018-02-11 06:50:00,2018-02-11 00:00:00,3.0
3665,9324177,LMN,ZGGG,2018-02-11 07:06:00,2018-02-11 06:45:00,2018-02-11 07:15:00,2018-02-11 00:00:00,-9.0
3666,9324180,LMN,ZGGG,2018-02-11 07:09:00,2018-02-11 06:40:00,2018-02-11 07:10:00,2018-02-11 00:00:00,-1.0
3667,9324433,LMN,ZGGG,2018-02-11 07:42:00,2018-02-11 07:30:00,2018-02-11 08:00:00,2018-02-11 00:00:00,-18.0
3668,9324475,LMN,ZGGG,2018-02-11 10:20:00,2018-02-11 09:00:00,2018-02-11 09:30:00,2018-02-11 00:00:00,50.0
3669,9324487,LMN,ZGGG,2018-02-11 08:14:00,2018-02-11 07:55:00,2018-02-11 08:25:00,2018-02-11 00:00:00,-11.0
3670,9324502,LMN,ZGGG,2018-02-11 11:41:00,2018-02-11 11:25:00,2018-02-11 11:55:00,2018-02-11 00:00:00,-14.0
3671,9324510,LMN,ZGGG,2018-02-11 06:37:00,2018-02-11 06:30:00,2018-02-11 07:00:00,2018-02-11 00:00:00,-23.0
3672,9324540,LMN,ZGGG,2018-02-11 11:30:00,2018-02-11 11:25:00,2018-02-11 11:55:00,2018-02-11 00:00:00,-25.0
3673,9324542,LMN,ZGGG,2018-02-11 07:34:00,2018-02-11 07:15:00,2018-02-11 07:45:00,2018-02-11 00:00:00,-11.0
3674,9324546,LMN,ZGGG,2018-02-11 12:03:00,2018-02-11 11:50:00,2018-02-11 12:20:00,2018-02-11 00:00:00,-17.0
3675,9324564,LMN,ZGGG,2018-02-11 09:18:00,2018-02-11 09:00:00,2018-02-11 09:30:00,2018-02-11 00:00:00,-12.0
3676,9324570,LMN,ZGGG,2018-02-11 08:04:00,2018-02-11 07:40:00,2018-02-11 08:10:00,2018-02-11 00:00:00,-6.0
3677,9324576,LMN,ZGGG,2018-02-11 07:14:00,2018-02-11 07:00:00,2018-02-11 07:30:00,2018-02-11 00:00:00,-16.0
3678,9324596,LMN,ZGGG,2018-02-11 09:49:00,2018-02-11 09:25:00,2018-02-11 09:55:00,2018-02-11 00:00:00,-6.0
3679,9324615,LMN,ZGGG,2018-02-11 11:24:00,2018-02-11 11:15:00,2018-02-11 11:45:00,2018-02-11 00:00:00,-21.0
3680,9324641,LMN,ZGGG,2018-02-11 09:34:00,2018-02-11 09:35:00,2018-02-11 10:05:00,2018-02-11 00:00:00,-31.0
3681,9324806,LMN,ZGGG,2018-02-11 08:08:00,2018-02-11 07:45:00,2018-02-11 08:15:00,2018-02-11 00:00:00,-7.0
3682,9324808,LMN,ZGGG,2018-02-11 08:28:00,2018-02-11 08:10:00,2018-02-11 08:40:00,2018-02-11 00:00:00,-12.0
3683,9324836,LMN,ZGGG,2018-02-11 08:56:00,2018-02-11 08:35:00,2018-02-11 09:05:00,2018-02-11 00:00:00,-9.0
3684,9324888,LMN,ZGGG,2018-02-11 10:48:00,2018-02-11 10:40:00,2018-02-11 11:10:00,2018-02-11 00:00:00,-22.0
3685,9324933,LMN,ZGGG,2018-02-11 11:56:00,2018-02-11 10:35:00,2018-02-11 11:05:00,2018-02-11 00:00:00,51.0
3686,9325419,LMN,ZGGG,2018-02-11 08:10:00,2018-02-11 07:45:00,2018-02-11 08:15:00,2018-02-11 00:00:00,-5.0
3687,9325433,LMN,ZGGG,2018-02-11 12:02:00,2018-02-11 11:40:00,2018-02-11 12:10:00,2018-02-11 00:00:00,-8.0
3688,9325664,LMN,ZGGG,2018-02-11 10:00:00,2018-02-11 09:15:00,2018-02-11 09:45:00,2018-02-11 00:00:00,15.0
3689,9325745,LMN,ZGGG,2018-02-11 09:23:00,2018-02-11 09:05:00,2018-02-11 09:35:00,2018-02-11 00:00:00,-12.0
3690,9325797,LMN,ZGGG,2018-02-11 10:55:00,2018-02-11 10:00:00,2018-02-11 10:30:00,2018-02-11 00:00:00,25.0
3691,9325960,LMN,ZGGG,2018-02-11 11:40:00,2018-02-11 11:10:00,2018-02-11 11:40:00,2018-02-11 00:00:00,0.0
3692,9325982,LMN,ZGGG,2018-02-11 09:13:00,2018-02-11 08:45:00,2018-02-11 09:15:00,2018-02-11 00:00:00,-2.0
3693,9325988,LMN,ZGGG,2018-02-11 07:51:00,2018-02-11 07:35:00,2018-02-11 08:05:00,2018-02-11 00:00:00,-14.0
3694,9325997,LMN,ZGGG,2018-02-11 07:09:00,2018-02-11 06:50:00,2018-02-11 07:20:00,2018-02-11 00:00:00,-11.0
3695,9326031,LMN,ZGGG,2018-02-11 09:18:00,2018-02-11 09:05:00,2018-02-11 09:35:00,2018-02-11 00:00:00,-17.0
3696,9326073,LMN,ZGGG,2018-02-11 07:43:00,2018-02-11 07:35:00,2018-02-11 08:05:00,2018-02-11 00:00:00,-22.0
3697,9326298,LMN,ZGGG,2018-02-11 06:29:00,2018-02-11 06:05:00,2018-02-11 06:35:00,2018-02-11 00:00:00,-6.0
3698,9326339,LMN,ZGGG,2018-02-11 11:58:00,2018-02-11 11:40:00,2018-02-11 12:10:00,2018-02-11 00:00:00,-12.0
3699,9326421,LMN,ZGGG,2018-02-11 12:23:00,2018-02-11 11:05:00,2018-02-11 11:35:00,2018-02-11 00:00:00,48.0
3700,9326431,LMN,ZGGG,2018-02-11 09:51:00,2018-02-11 09:40:00,2018-02-11 10:10:00,2018-02-11 00:00:00,-19.0
3701,9326499,LMN,ZGGG,2018-02-11 07:12:00,2018-02-11 06:55:00,2018-02-11 07:25:00,2018-02-11 00:00:00,-13.0
3702,9326535,LMN,ZGGG,2018-02-11 06:19:00,2018-02-11 06:00:00,2018-02-11 06:30:00,2018-02-11 00:00:00,-11.0
3703,9326581,LMN,ZGGG,2018-02-11 06:25:00,2018-02-11 06:10:00,2018-02-11 06:40:00,2018-02-11 00:00:00,-15.0
3704,9326632,LMN,ZGGG,2018-02-11 10:46:00,2018-02-11 10:40:00,2018-02-11 11:10:00,2018-02-11 00:00:00,-24.0
3705,9326667,LMN,ZGGG,2018-02-11 07:01:00,2018-02-11 06:05:00,2018-02-11 06:35:00,2018-02-11 00:00:00,26.0
3706,9326673,LMN,ZGGG,2018-02-11 06:21:00,2018-02-11 06:10:00,2018-02-11 06:40:00,2018-02-11 00:00:00,-19.0
3707,9326690,LMN,ZGGG,2018-02-11 10:38:00,2018-02-11 10:15:00,2018-02-11 10:45:00,2018-02-11 00:00:00,-7.0
3708,9326820,LMN,ZGGG,2018-02-08 22:03:00,2018-02-08 22:05:00,2018-02-08 22:35:00,2018-02-08 00:00:00,-32.0
3709,9326991,LMN,ZGGG,2018-02-11 13:13:00,2018-02-11 13:00:00,2018-02-11 13:30:00,2018-02-11 00:00:00,-17.0
